iter	Logloss
0	0.6832820328
1	0.6741144482
2	0.6650136408
3	0.6557038921
4	0.6481829484
5	0.6410078475
6	0.6345197847
7	0.6285237825
8	0.6214648441
9	0.6159801477
10	0.6090332951
11	0.6026700738
12	0.596607996
13	0.5914449872
14	0.5870882372
15	0.5817786726
16	0.5776978917
17	0.5735329336
18	0.5702412783
19	0.5664885293
20	0.5626131444
21	0.5586786889
22	0.55577095
23	0.5528593332
24	0.5502201833
25	0.5473917254
26	0.5444815373
27	0.5418650897
28	0.539516258
29	0.5372636489
30	0.5352557202
31	0.5329467721
32	0.5308418015
33	0.52913247
34	0.5273939631
35	0.5252800466
36	0.5230136006
37	0.5212206132
38	0.5193033342
39	0.5178540376
40	0.5166259913
41	0.5151295841
42	0.5138950461
43	0.5123894346
44	0.5109142693
45	0.5093468099
46	0.5078976972
47	0.5067040463
48	0.5055825403
49	0.5040329272
50	0.5029989037
51	0.5019294848
52	0.5006058537
53	0.4994360727
54	0.498427552
55	0.4975990153
56	0.4966768465
57	0.4957186284
58	0.4949299393
59	0.4939880612
60	0.4930491802
61	0.4921595713
62	0.4912992698
63	0.4905624282
64	0.4898598612
65	0.4893180316
66	0.4886489705
67	0.487990467
68	0.4872136024
69	0.4865920748
70	0.4859282755
71	0.4852489792
72	0.4848375759
73	0.4843071251
74	0.4836006721
75	0.4828891216
76	0.4823286674
77	0.4818428165
78	0.4812582826
79	0.4806182114
80	0.4802229585
81	0.4796955463
82	0.4791749255
83	0.4787356232
84	0.478335688
85	0.4778626035
86	0.4773739914
87	0.4768591912
88	0.4764314648
89	0.4760504674
90	0.4756237197
91	0.4751861131
92	0.4746499858
93	0.4741436701
94	0.4736943858
95	0.4733240677
96	0.4730049883
97	0.4725952507
98	0.4721480339
99	0.4718545299
100	0.471617975
101	0.4712094044
102	0.4708623824
103	0.4704300835
104	0.4699603774
105	0.4695640423
106	0.4692649704
107	0.468930132
108	0.4685315825
109	0.4682333361
110	0.4679244029
111	0.4676595184
112	0.4673498791
113	0.4670946119
114	0.466782545
115	0.466413676
116	0.4661283746
117	0.4659040234
118	0.4656569962
119	0.4651893139
120	0.4647953868
121	0.4646366388
122	0.4642781752
123	0.4639905767
124	0.4637584288
125	0.4636481261
126	0.463301302
127	0.4630689946
128	0.4628546089
129	0.4626066591
130	0.4624083655
131	0.4621724912
132	0.4619147145
133	0.4617282364
134	0.4614512397
135	0.4611944338
136	0.4609800176
137	0.4606833941
138	0.4604404681
139	0.4601885318
140	0.459993722
141	0.4598081038
142	0.4595139491
143	0.459183047
144	0.4589062303
145	0.4587200923
146	0.4585146434
147	0.4582479425
148	0.4580477315
149	0.4578955948
150	0.4576933627
151	0.4574431388
152	0.457202883
153	0.4570376184
154	0.4567585201
155	0.456489805
156	0.4562999432
157	0.4561839685
158	0.4559445535
159	0.4557327223
160	0.4554767781
161	0.4552781305
162	0.4549622693
163	0.4547470486
164	0.4544792713
165	0.4542974304
166	0.4541506502
167	0.4539219587
168	0.4536265268
169	0.4533133075
170	0.4531429291
171	0.4529832848
172	0.4528484411
173	0.4527241576
174	0.452393922
175	0.4522119542
176	0.4519511258
177	0.4517481824
178	0.4515523813
179	0.4513492581
180	0.45112524
181	0.4509679481
182	0.4507933251
183	0.4506299492
184	0.4503428623
185	0.4502566759
186	0.4500071243
187	0.4497284903
188	0.4495335067
189	0.4493490873
190	0.4490884635
191	0.4489566422
192	0.4487772527
193	0.4486166934
194	0.4484848161
195	0.4482433618
196	0.4480319688
197	0.4478689828
198	0.4476108358
199	0.4474701522
200	0.4472979516
201	0.4471866721
202	0.4470081318
203	0.4467989922
204	0.4465050903
205	0.4463748055
206	0.4462625014
207	0.4460805334
208	0.4458123612
209	0.4456780627
210	0.4455492478
211	0.4454722113
212	0.4453519365
213	0.4451969935
214	0.4449765244
215	0.4447194461
216	0.4445818014
217	0.4443748764
218	0.4440873093
219	0.4439519426
220	0.4438303953
221	0.4434784083
222	0.4432699486
223	0.4431463396
224	0.4430201913
225	0.4428825411
226	0.4427304926
227	0.442572193
228	0.4424209187
229	0.4422463371
230	0.4419579114
231	0.4417463132
232	0.441642149
233	0.4415209494
234	0.441176334
235	0.441011723
