iter	Passed	Remaining
0	3	3373
1	6	3271
2	9	3219
3	12	3187
4	16	3190
5	19	3189
6	22	3174
7	25	3171
8	28	3178
9	32	3172
10	35	3205
11	39	3230
12	42	3222
13	45	3215
14	48	3196
15	51	3192
16	55	3184
17	58	3178
18	61	3169
19	64	3160
20	68	3187
21	73	3262
22	76	3255
23	79	3250
24	83	3256
25	86	3243
26	89	3235
27	92	3227
28	96	3224
29	99	3218
30	102	3210
31	105	3201
32	109	3209
33	112	3206
34	116	3199
35	119	3192
36	122	3188
37	125	3181
38	128	3177
39	132	3171
40	135	3166
41	138	3163
42	142	3166
43	145	3160
44	149	3162
45	152	3157
46	155	3151
47	158	3145
48	161	3141
49	165	3140
50	168	3134
51	171	3130
52	175	3130
53	178	3123
54	181	3126
55	185	3122
56	191	3161
57	195	3170
58	201	3213
59	204	3207
60	208	3202
61	211	3197
62	214	3187
63	217	3179
64	220	3173
65	223	3168
66	227	3164
67	230	3162
68	235	3173
69	240	3191
70	243	3185
71	249	3212
72	252	3204
73	255	3198
74	258	3191
75	262	3186
76	265	3181
77	268	3177
78	272	3171
79	275	3165
80	279	3168
81	284	3183
82	287	3178
83	290	3172
84	294	3167
85	297	3162
86	300	3157
87	304	3150
88	307	3145
89	310	3138
90	313	3134
91	317	3136
92	320	3129
93	324	3124
94	327	3119
95	330	3113
96	333	3107
97	337	3102
98	340	3097
99	343	3091
100	346	3086
101	350	3082
102	353	3080
103	357	3076
104	360	3071
105	363	3066
106	367	3063
107	370	3057
108	374	3058
109	377	3056
110	380	3051
111	384	3045
112	387	3040
113	391	3039
114	394	3033
115	397	3027
116	401	3032
117	405	3028
118	408	3024
119	412	3021
120	415	3016
121	418	3012
122	421	3007
123	425	3003
124	428	2999
125	431	2995
126	435	2991
127	438	2986
128	441	2982
129	444	2977
130	448	2973
131	451	2968
132	454	2964
133	457	2959
134	461	2955
135	464	2952
136	468	2948
137	471	2944
138	474	2941
139	478	2940
140	482	2937
141	485	2932
142	488	2928
143	492	2927
144	495	2922
145	498	2918
146	502	2914
147	505	2910
148	508	2905
149	512	2901
150	515	2897
151	518	2894
152	521	2889
153	526	2892
154	530	2893
155	534	2894
156	538	2893
157	542	2889
158	545	2885
159	549	2882
160	552	2877
161	555	2872
162	559	2870
163	565	2884
164	570	2885
165	573	2883
166	577	2882
167	582	2883
168	585	2878
169	589	2878
170	592	2874
171	597	2874
172	600	2872
173	604	2867
174	607	2863
175	611	2861
176	614	2856
177	617	2852
178	620	2847
179	624	2843
180	627	2839
181	630	2835
182	634	2831
183	637	2826
184	640	2822
185	643	2817
186	647	2813
187	650	2809
188	653	2806
189	657	2802
190	660	2798
191	663	2793
192	667	2789
193	670	2785
194	673	2782
195	677	2778
196	680	2775
197	684	2771
198	687	2767
199	690	2763
200	693	2758
201	697	2754
202	700	2750
203	703	2745
204	707	2741
205	710	2738
206	713	2734
207	716	2729
208	720	2725
209	723	2721
210	726	2717
211	729	2713
212	733	2708
213	736	2704
214	739	2700
215	742	2696
216	746	2692
217	749	2688
218	752	2683
219	755	2679
220	759	2677
221	762	2673
222	766	2669
223	769	2666
224	773	2662
225	776	2659
226	779	2654
227	782	2650
228	786	2646
229	789	2642
230	792	2638
231	795	2634
232	799	2631
233	803	2628
234	806	2624
235	809	2621
236	813	2617
237	816	2613
238	818	2605
239	821	2601
240	824	2597
241	828	2593
242	829	2585
243	833	2581
244	836	2577
245	840	2575
246	843	2572
247	847	2569
248	850	2565
249	854	2562
250	857	2559
251	860	2555
252	864	2551
253	867	2547
254	870	2543
255	873	2539
256	876	2535
257	880	2531
258	883	2527
259	886	2523
260	889	2519
261	892	2515
262	896	2511
263	899	2507
264	902	2503
265	905	2499
266	908	2495
267	912	2491
268	915	2487
269	918	2483
270	921	2480
271	925	2476
272	928	2472
273	931	2468
274	934	2464
275	938	2461
276	941	2457
277	944	2454
278	948	2450
279	951	2446
280	955	2443
281	958	2440
282	961	2436
283	965	2433
284	968	2430
285	970	2423
286	974	2419
287	977	2416
288	980	2412
289	983	2408
290	987	2404
291	990	2401
292	993	2397
293	998	2396
294	1001	2393
295	1004	2389
296	1008	2386
297	1011	2382
298	1014	2379
299	1018	2375
300	1021	2372
301	1024	2368
302	1027	2364
303	1031	2360
304	1034	2356
305	1037	2353
306	1042	2354
307	1046	2351
308	1051	2350
309	1054	2346
310	1057	2343
311	1060	2339
312	1064	2335
313	1067	2331
314	1070	2327
315	1073	2324
316	1077	2322
317	1082	2321
318	1085	2317
319	1088	2313
320	1091	2309
321	1096	2309
322	1106	2318
323	1109	2315
324	1118	2322
325	1122	2319
326	1126	2318
327	1129	2314
328	1134	2312
329	1137	2310
330	1141	2306
331	1145	2305
332	1149	2301
333	1153	2300
334	1157	2297
335	1171	2315
336	1180	2322
337	1186	2323
338	1194	2328
339	1203	2336
340	1208	2336
341	1212	2332
342	1223	2344
343	1232	2350
344	1239	2353
345	1245	2354
346	1253	2358
347	1257	2356
348	1261	2352
349	1268	2355
350	1271	2350
351	1275	2348
352	1280	2346
353	1283	2342
354	1287	2339
355	1296	2344
356	1303	2347
357	1307	2344
358	1318	2355
359	1337	2377
360	1347	2385
361	1352	2383
362	1363	2392
363	1371	2396
364	1378	2398
365	1387	2403
366	1396	2408
367	1406	2415
368	1416	2421
369	1427	2430
370	1430	2425
371	1435	2423
372	1438	2418
373	1444	2418
374	1447	2413
375	1452	2410
376	1456	2407
377	1460	2403
378	1464	2399
379	1467	2395
380	1471	2391
381	1475	2387
382	1480	2384
383	1483	2380
384	1487	2376
385	1490	2371
386	1494	2366
387	1497	2362
388	1501	2357
389	1504	2353
390	1509	2350
391	1515	2350
392	1520	2348
393	1523	2344
394	1528	2340
395	1531	2335
396	1534	2330
397	1537	2325
398	1540	2321
399	1544	2316
400	1547	2311
401	1550	2307
402	1553	2302
403	1556	2296
404	1560	2292
405	1563	2287
406	1567	2284
407	1572	2281
408	1576	2278
409	1582	2277
410	1591	2280
411	1595	2277
412	1599	2273
413	1602	2268
414	1605	2263
415	1609	2259
416	1613	2255
417	1616	2251
418	1620	2246
419	1623	2241
420	1626	2236
421	1629	2232
422	1633	2227
423	1636	2223
424	1639	2218
425	1643	2214
426	1646	2209
427	1651	2206
428	1654	2202
429	1657	2197
430	1661	2193
431	1664	2188
432	1667	2183
433	1671	2179
434	1674	2174
435	1677	2169
436	1680	2165
437	1684	2161
438	1687	2156
439	1690	2152
440	1694	2147
441	1697	2143
442	1700	2138
443	1704	2134
444	1707	2129
445	1710	2124
446	1713	2120
447	1717	2116
448	1720	2111
449	1723	2106
450	1726	2101
451	1729	2097
452	1733	2092
453	1736	2088
454	1739	2083
455	1742	2079
456	1746	2074
457	1749	2070
458	1752	2065
459	1756	2061
460	1759	2056
461	1762	2052
462	1765	2047
463	1768	2042
464	1771	2038
465	1774	2033
466	1778	2029
467	1781	2024
468	1784	2020
469	1787	2015
470	1791	2012
471	1795	2008
472	1798	2004
473	1801	1999
474	1805	1995
475	1808	1991
476	1812	1987
477	1816	1983
478	1819	1978
479	1822	1974
480	1828	1973
481	1834	1971
482	1844	1974
483	1847	1969
484	1850	1965
485	1853	1960
486	1857	1956
487	1860	1952
488	1863	1947
489	1867	1944
490	1871	1940
491	1875	1936
492	1878	1931
493	1881	1927
494	1885	1923
495	1888	1918
496	1891	1914
497	1895	1910
498	1898	1905
499	1901	1901
500	1904	1897
501	1908	1892
502	1911	1888
503	1914	1884
504	1918	1880
505	1921	1875
506	1924	1871
507	1927	1866
508	1931	1862
509	1934	1858
510	1937	1854
511	1941	1850
512	1944	1846
513	1947	1841
514	1951	1837
515	1955	1833
516	1958	1829
517	1961	1825
518	1964	1820
519	1967	1816
520	1970	1812
521	1974	1807
522	1977	1803
523	1980	1799
524	1983	1794
525	1987	1791
526	1991	1787
527	1994	1782
528	1997	1778
529	2001	1774
530	2004	1770
531	2007	1766
532	2010	1761
533	2014	1757
534	2017	1753
535	2021	1749
536	2024	1745
537	2027	1741
538	2031	1737
539	2034	1733
540	2039	1730
541	2042	1725
542	2045	1721
543	2049	1718
544	2052	1713
545	2055	1709
546	2058	1705
547	2062	1700
548	2065	1696
549	2068	1692
550	2071	1688
551	2075	1684
552	2079	1681
553	2083	1676
554	2086	1672
555	2089	1668
556	2092	1664
557	2095	1659
558	2098	1655
559	2101	1651
560	2104	1647
561	2107	1642
562	2110	1638
563	2113	1634
564	2116	1629
565	2120	1625
566	2123	1621
567	2127	1617
568	2130	1613
569	2133	1609
570	2137	1605
571	2140	1601
572	2143	1597
573	2147	1593
574	2150	1589
575	2153	1585
576	2156	1581
577	2160	1577
578	2163	1572
579	2166	1568
580	2169	1564
581	2173	1560
582	2176	1556
583	2180	1552
584	2184	1549
585	2188	1545
586	2191	1541
587	2194	1537
588	2197	1533
589	2201	1529
590	2204	1525
591	2207	1521
592	2210	1517
593	2213	1513
594	2217	1509
595	2220	1505
596	2223	1501
597	2227	1497
598	2230	1493
599	2233	1489
600	2236	1485
601	2240	1481
602	2243	1477
603	2248	1474
604	2252	1470
605	2255	1466
606	2258	1462
607	2261	1458
608	2265	1454
609	2268	1450
610	2271	1446
611	2274	1442
612	2278	1438
613	2281	1434
614	2285	1430
615	2288	1426
616	2293	1423
617	2297	1419
618	2300	1415
619	2303	1411
620	2306	1407
621	2309	1403
622	2312	1399
623	2316	1395
624	2319	1391
625	2323	1387
626	2326	1383
627	2329	1380
628	2333	1376
629	2336	1372
630	2339	1368
631	2342	1364
632	2345	1360
633	2348	1356
634	2352	1351
635	2354	1347
636	2358	1343
637	2361	1339
638	2364	1335
639	2367	1331
640	2375	1330
641	2378	1326
642	2382	1322
643	2385	1318
644	2388	1314
645	2391	1310
646	2396	1307
647	2400	1304
648	2414	1305
649	2426	1306
650	2429	1302
651	2441	1302
652	2444	1298
653	2451	1296
654	2454	1293
655	2459	1289
656	2463	1285
657	2467	1282
658	2470	1278
659	2475	1275
660	2481	1272
661	2485	1269
662	2489	1265
663	2500	1265
664	2507	1263
665	2510	1259
666	2520	1258
667	2524	1254
668	2531	1252
669	2536	1249
670	2541	1246
671	2549	1244
672	2557	1242
673	2565	1240
674	2569	1237
675	2573	1233
676	2578	1230
677	2582	1226
678	2586	1222
679	2591	1219
680	2595	1215
681	2598	1211
682	2602	1207
683	2607	1204
684	2611	1200
685	2615	1197
686	2619	1193
687	2623	1189
688	2627	1185
689	2633	1183
690	2637	1179
691	2647	1178
692	2650	1174
693	2653	1169
694	2661	1167
695	2672	1167
696	2677	1164
697	2683	1161
698	2692	1159
699	2700	1157
700	2703	1153
701	2708	1149
702	2712	1146
703	2722	1144
704	2728	1141
705	2735	1139
706	2739	1135
707	2743	1131
708	2746	1127
709	2750	1123
710	2755	1120
711	2759	1116
712	2764	1112
713	2776	1112
714	2780	1108
715	2785	1104
716	2789	1101
717	2797	1098
718	2801	1094
719	2805	1090
720	2809	1087
721	2813	1083
722	2817	1079
723	2821	1075
724	2826	1072
725	2829	1068
726	2833	1064
727	2838	1060
728	2843	1057
729	2847	1053
730	2850	1049
731	2866	1049
732	2873	1046
733	2876	1042
734	2885	1040
735	2894	1038
736	2900	1035
737	2908	1032
738	2912	1028
739	2917	1025
740	2922	1021
741	2926	1017
742	2930	1013
743	2935	1010
744	2938	1005
745	2944	1002
746	2948	998
747	2951	994
748	2955	990
749	2959	986
750	2963	982
751	2977	982
752	2984	978
753	2991	976
754	2999	973
755	3010	971
756	3018	969
757	3024	965
758	3032	962
759	3040	960
760	3054	959
761	3068	958
762	3074	955
763	3087	953
764	3092	950
765	3104	948
766	3112	945
767	3122	943
768	3131	940
769	3140	938
770	3160	938
771	3168	935
772	3183	934
773	3193	932
774	3207	931
775	3213	927
776	3225	925
777	3233	922
778	3238	918
779	3254	917
780	3263	915
781	3274	912
782	3284	910
783	3296	908
784	3307	905
785	3316	903
786	3325	900
787	3333	896
788	3339	893
789	3348	890
790	3356	886
791	3367	884
792	3374	880
793	3383	877
794	3388	873
795	3398	871
796	3409	868
797	3422	866
798	3430	862
799	3438	859
800	3446	856
801	3451	852
802	3461	849
803	3474	846
804	3481	843
805	3493	840
806	3497	836
807	3514	835
808	3524	832
809	3537	829
810	3544	826
811	3559	824
812	3570	821
813	3579	817
814	3587	814
815	3592	810
816	3601	806
817	3606	802
818	3616	799
819	3622	795
820	3631	791
821	3637	787
822	3649	784
823	3655	780
824	3665	777
825	3672	773
826	3678	769
827	3686	765
828	3698	762
829	3706	759
830	3713	755
831	3718	750
832	3726	747
833	3736	743
834	3746	740
835	3752	736
836	3764	733
837	3776	730
838	3783	726
839	3792	722
840	3797	717
841	3806	714
842	3814	710
843	3821	706
844	3827	702
845	3836	698
846	3841	693
847	3851	690
848	3860	686
849	3865	682
850	3873	678
851	3880	673
852	3885	669
853	3894	665
854	3906	662
855	3918	659
856	3926	655
857	3936	651
858	3947	647
859	3958	644
860	3981	642
861	3992	639
862	3998	634
863	4007	630
864	4016	626
865	4027	623
866	4038	619
867	4047	615
868	4058	611
869	4067	607
870	4079	604
871	4087	600
872	4095	595
873	4109	592
874	4115	587
875	4124	583
876	4132	579
877	4136	574
878	4146	570
879	4153	566
880	4160	562
881	4166	557
882	4175	553
883	4185	549
884	4193	544
885	4201	540
886	4206	535
887	4214	531
888	4220	526
889	4229	522
890	4242	518
891	4248	514
892	4258	510
893	4268	506
894	4275	501
895	4289	497
896	4297	493
897	4307	489
898	4315	484
899	4323	480
900	4331	475
901	4341	471
902	4346	466
903	4353	462
904	4361	457
905	4366	453
906	4375	448
907	4384	444
908	4390	439
909	4399	435
910	4405	430
911	4414	425
912	4424	421
913	4433	417
914	4441	412
915	4450	408
916	4458	403
917	4466	399
918	4477	394
919	4485	390
920	4493	385
921	4500	380
922	4510	376
923	4519	371
924	4526	366
925	4535	362
926	4544	357
927	4552	353
928	4556	348
929	4564	343
930	4573	338
931	4585	334
932	4592	329
933	4601	325
934	4614	320
935	4619	315
936	4628	311
937	4638	306
938	4646	301
939	4651	296
940	4660	292
941	4670	287
942	4676	282
943	4685	277
944	4691	273
945	4702	268
946	4711	263
947	4719	258
948	4727	254
949	4735	249
950	4742	244
951	4750	239
952	4759	234
953	4767	229
954	4774	224
955	4786	220
956	4790	215
957	4800	210
958	4805	205
959	4814	200
960	4823	195
961	4831	190
962	4841	186
963	4852	181
964	4861	176
965	4869	171
966	4884	166
967	4895	161
968	4902	156
969	4909	151
970	4914	146
971	4919	141
972	4926	136
973	4931	131
974	4939	126
975	4943	121
976	4950	116
977	4961	111
978	4966	106
979	4975	101
980	4982	96
